Hanzi,Pinyin,English,
找,zhǎo,find,
识,shí,knowledge,
报,bào,report,
吧,ba,OK?,
每,měi,every,
坐,zuò,sit,
表,biǎo,form,
友,yǒu,friend,
望,wàng,expect,
方,fāng,square,
张,zhāng,sheet/open,
影,yǐng,shadow,
位,wèi,position,
便,biàn,ordinary,
才,cái,ability,
飞,fēi,fly,
欢,huān,joyous,
站,zhàn,station,
远,yuǎn,far,
成,chéng,succeed,
眼,yǎn,eyelet,
医,yī,medical,
妈,mā,mother,
喜,xǐ,fond of,
离,lí,leave,
更,gèng,even more,
边,biān,side,
重,zhòng,heavy,
理,lǐ,logic,
六,liù,six,
放,fàng,release,
兴,xìng,excitement,
视,shì,vision,
近,jìn,near,
如,rú,such as,
马,mǎ,horse,
八,bā,eight,
接,jiē,receive,
口,kǒu,opening,
星,xīng,star,
难,nán,difficult,
其,qí,that,
思,sī,consider,
像,xiàng,resemble,
号,hào,number,
校,xiào,school,
语,yǔ,language,
者,zhě,person,
务,wù,affair,
带,dài,bring,
应,yīng,should,
夫,fū,husband,
头,tóu,head,
定,dìng,decide,
买,mǎi,buy,
准,zhǔn,standard,
司,sī,company,
热,rè,hot,
色,sè,colour,
孩,hái,child,
法,fǎ,method,
己,jǐ,self,
使,shǐ,use/cause,
于,yú,preposition,
早,zǎo,early,
提,tí,raise,
感,gǎn,feel,
运,yùn,movement,
干,gàn,do/work,
条,tiáo,strip,
男,nán,male,
实,shí,real,
万,wàn,10,264
错,cuò,mistake,
直,zhí,straight,
力,lì,power,
然,rán,then,
跟,gēn,with,
主,zhǔ,master,
始,shǐ,begin,
岁,suì,age(years),
心,xīn,heart,
客,kè,guest,
米,mǐ,rice,
百,bǎi,hundred,
声,shēng,sound,
之,zhī,of,
北,běi,north,
元,yuán,dollar,
安,ān,peace,
息,xī,breath,
朋,péng,companion,
晚,wǎn,night,
房,fáng,house,
商,shāng,commerce,
目,mù,eye,
黑,hēi,black,
加,jiā,add,
脑,nǎo,brain,
希,xī,hope,
业,yè,business,
平,píng,even,
衣,yī,clothes,
七,qī,seven,
喝,hē,drink,
诉,sù,accuse,
世,shì,world,
备,bèi,prepare,
病,bìng,sickness,
谢,xiè,thanks,
九,jiǔ,nine,
读,dú,read,
数,shǔ,count,
花,huā,flower,
送,sòng,deliver,
信,xìn,letter,
块,kuài,lump/piece,
结,jié,knot,
无,wú,-less,
冷,lěng,cold,
该,gāi,should,
姐,jiě,older&nbsp;sis.,
步,bù,step/pace,
必,bì,must,
红,hóng,red,
或,huò,or,
相,xiāng,mutually,
共,gòng,altogether,
化,huà,transform,
文,wén,language,
空,kōng,empty,
拿,ná,take/hold,
总,zǒng,chief,
帮,bāng,help,
亮,liàng,shining,
试,shì,try,
乐,lè,joy,
界,jiè,boundary,
市,shì,market,
通,tōng,connect,
求,qiú,request,
千,qiān,thousand,
特,tè,special,
算,suàn,regard as,
解,jiě,solve,
且,qiě,moreover,
与,yǔ,and,
办,bàn,manage,
决,jué,decide,
根,gēn,root,
球,qiú,ball,
物,wù,object,
越,yuè,exceed,
片,piàn,slice,
啊,a,Ah!,
极,jí,extreme,
照,zhào,illuminate,
钟,zhōng,clock,
穿,chuān,wear,
死,sǐ,die,
足,zú,foot,
包,bāo,wrap,
变,biàn,change,
记,jì,remember,
饭,fàn,meal,
风,fēng,wind,
答,dá,answer,
您,nín,you,
忙,máng,busy,
汉,hàn,Han,
半,bàn,half,
游,yóu,swim,
弟,dì,little&nbsp;bro.,
睡,shuì,sleep,
助,zhù,assist,
考,kǎo,test,
内,nèi,within,
满,mǎn,full,
哥,gē,big&nbsp;brother,
南,nán,south,
由,yóu,due to,
轻,qīng,light/gentle,
刚,gāng,just,
爸,bà,dad,
选,xuǎn,choose,
习,xí,learn,
部,bù,department,
药,yào,medicine,
讲,jiǎng,speak,
室,shì,room,
音,yīn,sound,
清,qīng,clear,
节,jié,festival,
久,jiǔ,long time,
据,jù,according&nbsp;to,
脸,liǎn,face,
段,duàn,segment,
除,chú,remove,
船,chuán,ship,
玩,wán,toy/play,
指,zhǐ,finger,
此,cǐ,this,
却,què,however,
山,shān,mountain,
须,xū,have to,
调,tiáo,adjust,
周,zhōu,week,
议,yì,comment,
复,fù,duplicate,
光,guāng,light,
京,jīng,capital city,
单,dān,list,
需,xū,need,
何,hé,how,
交,jiāo,intersect,
慢,màn,slow,
跑,pǎo,run,
店,diàn,inn,
阿,ā,(phonetic),
拉,lā,pull,
馆,guǎn,building,
班,bān,class,
双,shuāng,pair/double,
票,piào,ticket,
容,róng,contents,
克,kè,gram,
刻,kè,carve,
历,lì,experience,
狗,gǒu,dog,
谈,tán,talk,
易,yì,easy,
参,cān,participate,
计,jì,calculate,
收,shōu,accept,
城,chéng,city,
合,hé,join,
奇,qí,strange,
史,shǐ,history,
图,tú,picture,
卖,mài,sell,
台,tái,platform,
查,chá,check,
留,liú,stay,
任,rèn,assign,
往,wǎng,towards,
愿,yuàn,wish,
跳,tiào,jump,
管,guǎn,manage,
护,hù,protect,
示,shì,show,
午,wǔ,noon,
演,yǎn,perform,
各,gè,each,
害,hài,harm,
保,bǎo,protect,
连,lián,link,
响,xiǎng,echo,
举,jǔ,lift,
左,zuǒ,left-,
命,mìng,fate,
全,quán,entire,
切,qiē,cut/slice,
注,zhù,pour,
右,yòu,right-,
取,qǔ,pick,
差,chā,differ,
故,gù,incident,
歌,gē,song,
敢,gǎn,dare,
处,chù,place,
鱼,yú,fish,
神,shén,god,
舞,wǔ,dance,
坏,huài,bad,
脚,jiǎo,foot/leg,
终,zhōng,end,
受,shòu,receive,
乎,hū,seem/care,
底,dǐ,bottom,
网,wǎng,net,
利,lì,favourable,
怕,pà,afraid,
换,huàn,exchange,
级,jí,level,
科,kē,branch/field,
反,fǎn,contrary,
角,jiǎo,angle,
楼,lóu,multistory,
低,dī,low,
香,xiāng,fragrant,
够,gòu,enough,
酒,jiǔ,alcohol,
雨,yǔ,rain,
突,tū,abrupt,
美,měi,beautiful,
妹,mèi,little sis.,
深,shēn,deep,
将,jiāng,will,
度,dù,degree,
民,mín,people,
组,zǔ,group,
言,yán,words,
菜,cài,vegetable,
达,dá,reach,
确,què,true/solid,
至,zhì,until,
士,shì,scholar,
闻,wén,hear/sniff,
妻,qī,wife,
首,shǒu,head,
树,shù,tree,
介,jiè,introduce,
品,pǐn,product,
居,jū,reside,
急,jí,urgent,
肉,ròu,flesh,
入,rù,enter,
造,zào,create,
则,zé,rule,
婚,hūn,marriage,
旅,lǚ,travel,
句,jù,sentence,
许,xǔ,allow,
画,huà,paint/draw,
虽,suī,although,
量,liàng,capacity,
父,fù,father,
杯,bēi,cup,
贵,guì,expensive,
支,zhī,support,
停,tíng,halt,
海,hǎi,ocean,
担,dān,undertake,
象,xiàng,elephant,
怪,guài,odd/blame,
睛,jīng,eyeball,
活,huó,live,
迎,yíng,welcome,
及,jí,and,
唱,chàng,sing,
案,àn,case file,
尽,jìn,utmost,
牛,niú,cow,
懂,dǒng,understand,
联,lián,unite,
失,shī,lose/fail,
份,fèn,portion,
桌,zhuō,table,
旁,páng,beside,
洗,xǐ,wash,
原,yuán,former,
黄,huáng,yellow,
层,céng,layer,
并,bìng,combine,
赛,sài,competition,
雪,xuě,snow,
破,pò,broken,
毛,máo,fur,
导,dǎo,guide,
断,duàn,sever/break,
床,chuáng,bed,
格,gé,pattern,
性,xìng,nature,
功,gōng,achievement,
遇,yù,encounter,
社,shè,society,
阳,yáng,the sun,
血,xuè,blood,
境,jìng,boundary,
休,xiū,rest,
另,lìng,other,
静,jìng,quiet,
普,pǔ,universal,
精,jīng,refined,
环,huán,loop/encircle,
假,jiǎ,fake,
纸,zhǐ,paper,
银,yín,silver,
代,dài,generation,
亲,qīn,intimate,
伤,shāng,injury,
论,lùn,discuss,
顾,gù,look after,
推,tuī,push,
超,chāo,super,
礼,lǐ,ceremony,
争,zhēng,contend,
草,cǎo,grass,
较,jiào,compare,
简,jiǎn,simple,
李,lǐ,Li,
笔,bǐ,pen,
改,gǎi,alter,
划,huá,scratch,
漂,piāo,pretty,
证,zhèng,prove,
掉,diào,drop,
课,kè,lesson,
随,suí,follow,
蛋,dàn,egg,
奶,nǎi,milk,
区,qū,region,
林,lín,woods,
苦,kǔ,bitter,
般,bān,kind/class,
际,jì,border,
练,liàn,practice,
短,duǎn,short,
密,mì,secret,
尔,ěr,you,
束,shù,bundle,
金,jīn,money,
持,chí,hold,
阴,yīn,dark/hidden,
况,kuàng,situation,
丈,zhàng,ten feet,
制,zhì,manufacture,
昨,zuó,yesterday,
楚,chǔ,clear,
姓,xìng,surname,
园,yuán,park,
式,shì,style,
乱,luàn,chaos,
紧,jǐn,tight,
消,xiāo,extinguish,
术,shù,technique,
亚,yà,Asia,
基,jī,base,
研,yán,research,
河,hé,river,
育,yù,educate,
茶,chá,tea,
技,jì,skill,
旧,jiù,old,
夏,xià,summer,
借,jiè,lend,
戏,xì,a play,
惊,jīng,startled,
集,jí,gather,
群,qún,crowd,
志,zhì,aspiration,
忘,wàng,forget,
质,zhì,quality,
专,zhuān,expert,
抱,bào,embrace,
铁,tiě,iron,
观,guān,observe,
检,jiǎn,inspect,
即,jí,immediately,
嘴,zuǐ,mouth,
街,jiē,street,
零,líng,zero,
云,yún,cloud,
资,zī,resources,
传,chuán,transmit,
板,bǎn,board,
哭,kū,cry,
仅,jǐn,merely,
排,pái,a row,
众,zhòng,multitude,
梦,mèng,dream,
春,chūn,spring/youth,
汽,qì,vapor,
灯,dēng,lamp,
约,yuē,appointment,
词,cí,word,
止,zhǐ,stop,
纪,jì,era,
激,jī,excite,
费,fèi,fee,
律,lǜ,law,
租,zū,rent,
牙,yá,tooth,
鸡,jī,chicken,
察,chá,scrutinize,
展,zhǎn,exhibition,
弄,nòng,to do,
引,yǐn,attract,
流,liú,flow,
整,zhěng,entire/exact,
列,liè,line up,
程,chéng,journey,
顿,dùn,pause,
趣,qù,interest,
呀,ya,wow,
座,zuò,seat,
料,liào,material,
永,yǒng,forever,
规,guī,regulations,
供,gōng,supply,
累,lèi,tired,
标,biāo,label/sign,
爷,yé,grandfather,
否,fǒu,negate,
康,kāng,peaceful,
鲜,xiān,fresh,
腿,tuǐ,leg,
怀,huái,cherish,
速,sù,speed,
择,zé,select,
母,mǔ,female,
耳,ěr,ear,
价,jià,price,
辆,liàng,vehicles,
脱,tuō,undress,
暗,àn,dark,
喂,wéi,hello...,
究,jiū,research,
续,xù,continue,
猫,māo,cat,
烧,shāo,roast,
按,àn,press,
险,xiǎn,dangerous,
醒,xǐng,awaken,
具,jù,tool,
刀,dāo,knife,
健,jiàn,healthy,
省,shěng,frugal,
职,zhí,job,
警,jǐng,police,
批,pī,criticize,
绝,jué,discontinue,
绍,shào,to go on,
富,fù,wealthy,
疑,yí,doubt,
织,zhī,weave,
竟,jìng,unexpectedly,
冰,bīng,ice,
招,zhāo,beckon,
绿,lǜ,green,
困,kùn,trapped,
族,zú,clan,
杂,zá,misc.,
户,hù,door,
判,pàn,judge,
附,fù,attach,
责,zé,duty,
济,jì,aid,
剧,jù,drama,
沙,shā,sand,
盘,pán,tray,
输,shū,lose/haul,
蓝,lán,blue,
微,wēi,tiny,
继,jì,carry on,
甚,shèn,what/very,
福,fú,happiness,
季,jì,season,
卡,kǎ,card,
温,wēn,warm,
典,diǎn,dictionary,
细,xì,fine/thin,
章,zhāng,seal,
努,nǔ,strive,
吸,xī,suck,
严,yán,strict,
遍,biàn,everywhere,
叔,shū,uncle,
羊,yáng,sheep,
围,wéi,encircle,
农,nóng,agriculture,
广,guǎng,wide,
例,lì,example,
幸,xìng,fortunate,
掌,zhǎng,palm,
冒,mào,risk,
降,jiàng,descend,
获,huò,obtain,
评,píng,criticize,
皮,pí,skin/fur,
败,bài,fail,
恐,kǒng,fear,
丽,lì,beautiful,
养,yǎng,nurture,
味,wèi,flavor,
印,yìn,print,
态,tài,attitude,
骑,qí,ride,
限,xiàn,limit,
范,fàn,pattern,
镜,jìng,mirror,
效,xiào,effect,
肯,kěn,agree,
鸟,niǎo,bird,
翻,fān,turn over,
验,yàn,examine,
末,mò,last,
著,zhù,outstanding,
预,yù,beforehand,
戴,dài,put on,
适,shì,suitable,
宜,yí,fitting,
椅,yǐ,chair,
互,hù,mutual,
优,yōu,superior,
奖,jiǎng,award,
洲,zhōu,continent,
秋,qiū,autumn,
概,gài,approximate,
油,yóu,oil,
颜,yán,colouring,
迟,chí,tardy,
讨,tǎo,provoke,
负,fù,bear/carry,
弹,dàn,bullet,
软,ruǎn,soft,
食,shí,food,
仍,réng,still,
修,xiū,repair,
值,zhí,value,
既,jì,since,
禁,jìn,forbid,
挺,tǐng,quite,
增,zēng,increase,
危,wēi,danger,
签,qiān,signature,
授,shòu,confer,
祝,zhù,wish well,
搬,bān,move,
坚,jiān,firm,
咱,zán,we,
麻,má,hemp,
净,jìng,clean,
挂,guà,hang,
村,cūn,village,
散,sàn,scatter,
烟,yān,smoke,
俩,liǎ,duo,
秀,xiù,elegant,
折,zhé,discount,
免,miǎn,exempt,
虑,lǜ,ponder,
瓜,guā,melon,
聪,cōng,smart,
景,jǐng,scenery,
墙,qiáng,wall,
鞋,xié,shoe,
箱,xiāng,box,
硬,yìng,hard,
惯,guàn,accustomed,
释,shì,explain,
袋,dài,bag,
压,yā,pressure,
访,fǎng,visit,
彩,cǎi,colourful,
松,sōng,loose/pine,
艺,yì,art,
骗,piàn,cheat,
寄,jì,mail,
亿,yì,100&nbsp;million,
误,wù,error,
疼,téng,hurt,
替,tì,substitute,
鼻,bí,nose,
猜,cāi,guess,
博,bó,ample,
诚,chéng,sincere,
舒,shū,relax,
顺,shùn,smooth,
毕,bì,complete,
扫,sǎo,sweep,
货,huò,commodity,
饿,è,hungry,
篇,piān,sheet/piece,
陪,péi,accompany,
弃,qì,reject,
忽,hū,suddenly,
江,jiāng,Yangtze,
邮,yóu,post,
冬,dōng,winter,
童,tóng,adolescent,
序,xù,sequence,
剩,shèng,leftover,
括,kuò,include,
宾,bīn,visitor,
桥,qiáo,bridge,
材,cái,material,
甜,tián,sugary,
缺,quē,deficiency,
染,rǎn,dye,
啤,pí,beer,
忆,yì,recall,
爬,pá,climb,
窗,chuāng,window,
航,háng,navigate,
渐,jiàn,gradual,
乘,chéng,hitch/ride,
圆,yuán,round,
朵,duǒ,flower,
积,jī,accumulate,
减,jiǎn,reduce,
丢,diū,throw,
尊,zūn,venerate,
鼓,gǔ,drum,
扬,yáng,hoist,
撞,zhuàng,bump into,
宽,kuān,wide,
胖,pàng,fat,
齐,qí,neat,
赢,yíng,win,
糖,táng,sugar,
尤,yóu,remarkable,
邻,lín,neighbour,
厉,lì,severe,
逐,zhú,one-by-one,
烦,fán,vexed,
熟,shú,ripe,
浪,làng,unrestrained,
码,mǎ,numeral,
洋,yáng,ocean,
默,mò,silence,
播,bō,broadcast,
孤,gū,lone,
汤,tāng,soup,
脏,zàng,filthy,
森,sēn,forest,
裤,kù,trousers,
叶,yè,leaf,
碗,wǎn,bowl,
倍,bèi,multiply,
踢,tī,kick,
厚,hòu,thick,
申,shēn,express,
奋,fèn,exert,
页,yè,page,
抬,tái,elevate,
抽,chōu,draw/drag,
巧,qiǎo,coincidence,
尝,cháng,taste/try,
穷,qióng,poor,
针,zhēn,needle,
购,gòu,purchase,
勇,yǒng,valiant,
咖,kā,(phonetic),
孙,sūn,grandchild,
躺,tǎng,lie down,
闹,nào,ruckus,
漫,màn,overflow,
汗,hàn,sweat,
握,wò,grip,
啡,fēi,(phonetic),
售,shòu,sale,
猪,zhū,pig,
帽,mào,hat,
聊,liáo,chat,
绩,jì,merit,
瘦,shòu,slim,
暂,zàn,temporary,
熊,xióng,bear,
扔,rēng,throw away,
虎,hǔ,tiger,
竞,jìng,compete,
酸,suān,sour,
刷,shuā,brush,
污,wū,pollute,
梯,tī,ladder,
斤,jīn,pound,
符,fú,symbol,
渴,kě,thirsty,
擦,cā,wipe,
础,chǔ,foundation,
龄,líng,age,
稍,shāo,somewhat,
键,jiàn,keyboard,
厌,yàn,loathe,
粗,cū,coarse,
币,bì,currency,
泳,yǒng,swimming,
丰,fēng,abundant,
估,gū,estimate,
拒,jù,refuse,
偶,ǒu,accidentally,
衫,shān,shirt,
敲,qiāo,knock,
貌,mào,appearance,
邀,yāo,invite,
扩,kuò,enlarge,
篮,lán,basket,
吵,chǎo,noisy,
允,yǔn,permit,
悔,huǐ,regret,
厨,chú,kitchen,
糕,gāo,cake,
泪,lèi,tears,
炼,liàn,refine/smelt,
歉,qiàn,apology,
悉,xī,familiar,
惜,xī,pity,
饱,bǎo,sated,
辛,xīn,pungent,
怜,lián,pitiful,
拾,shí,pick up,
钢,gāng,steel,
矮,ǎi,short,
扮,bàn,disguise,
凉,liáng,cool/cold,
帅,shuài,handsome,
苹,píng,apple,
肥,féi,fat/fertile,
耐,nài,tolerate,
润,rùn,moisten,
暖,nuǎn,warm,
植,zhí,plant,
距,jù,distance,
址,zhǐ,address,
肚,dǔ,belly,
扰,rǎo,disturb,
羞,xiū,shy,
赚,zhuàn,earn,
